prediction,regime,surprise,tick,vector
"[0.2246813858799676, 0.34871353422700546, 0.741163459538019, 0.3357395779930714]",stable,0.0,0,"[0.2246813858799676, 0.34871353422700546, 0.741163459538019, 0.3357395779930714]"
"[0.2246813858799676, 0.34871353422700546, 0.741163459538019, 0.3357395779930714]",stable,0.11841194904671896,1,"[0.20741619745341902, 0.39517077068852136, 0.6348711369849259, 0.3194003524218712]"
"[0.21604879166669333, 0.3719421524577634, 0.6880172982614725, 0.3275699652074713]",stable,0.20795525397265063,2,"[0.19144867112494776, 0.4458073931571125, 0.4953666518664479, 0.31921075566543755]"
"[0.20784875148611148, 0.39656389935754643, 0.6238004161297976, 0.32478356202679337]",stable,0.1861953767428938,3,"[0.21059721426956532, 0.5410389480745744, 0.5094404933524744, 0.3514281230727777]"
"[0.20853586718197495, 0.43268266153680346, 0.5952104354354668, 0.3314447022882895]",stable,0.1501331154937119,4,"[0.285616349642167, 0.5259799592490652, 0.5844600329147326, 0.41964104391754337]"
"[0.22395196367401335, 0.45134212107925575, 0.59306035493132, 0.34908397061414026]",stable,0.22562860836068593,5,"[0.30840100298458667, 0.5705612954081506, 0.6855267922589945, 0.4940438792460267]"
"[0.2380268035591089, 0.4712119834674049, 0.6084714278192659, 0.3732439553861213]",stable,0.22867756884072166,6,"[0.35819884812090874, 0.5344277028344524, 0.7499886226884499, 0.4908397315772919]"
"[0.25519423849650885, 0.48024280051984025, 0.628688169943435, 0.39004335198485995]",stable,0.3061636135258758,7,"[0.4214578643107169, 0.5750446479539741, 0.8061867788232552, 0.5500415349343506]"
"[0.4214578643107169, 0.5750446479539741, 0.8061867788232552, 0.5500415349343506]",stable,0.0613628420983372,8,"[0.4350801417373255, 0.5237441049539968, 0.7850746844366444, 0.5276280187752048]"
"[0.4282690030240212, 0.5493943764539855, 0.7956307316299498, 0.5388347768547777]",stable,0.06765494303990739,9,"[0.48142353422488554, 0.5247622289439162, 0.8043264695989814, 0.5715368957580779]"
"[0.445987180090976, 0.5411836606172957, 0.7985293109529602, 0.5497354831558777]",stable,0.10002785805700899,10,"[0.516830863658971, 0.5527725728516711, 0.8491724900729746, 0.5975654989182942]"
"[0.4636981009829747, 0.5440808886758896, 0.8111901057329638, 0.5616929870964819]",stable,0.1129914390960319,11,"[0.5009061949039252, 0.5888407391280679, 0.8876941807892426, 0.6210756894856786]"
"[0.4711397197671648, 0.5530328587663252, 0.8264909207442196, 0.5735695275743212]",stable,0.11735851908232531,12,"[0.5468287871977396, 0.6089348725668033, 0.8859476365441424, 0.6107723617677636]"
"[0.4837545643389272, 0.5623498610664049, 0.8364003733775401, 0.579769999939895]",stable,0.09110158886308937,13,"[0.49500538158686125, 0.6197506083205807, 0.7694425589530236, 0.5996376597615045]"
"[0.48536182394577493, 0.5705499678170015, 0.826834971316895, 0.5826082370572677]",stable,0.22734278782534123,14,"[0.3661796152239008, 0.5724867536449665, 0.65445729528728, 0.49450301605612923]"
"[0.26906741058743283, 0.49177329466048103, 0.6319093106114156, 0.4031008099937686]",stable,0.1653122810173981,15,"[0.2875517534718631, 0.6205345595289329, 0.5436069781464137, 0.4541861706563171]"
"[0.27112122646348064, 0.5060801018680867, 0.6220979403375265, 0.4087769611784962]",stable,0.20166346703837723,16,"[0.27212373882524515, 0.6492850918295593, 0.48268076065698423, 0.4356531544908143]"
"[0.2712214776996571, 0.5204006008642339, 0.6081562223694722, 0.41146458050972806]",stable,0.2908256705662659,17,"[0.16857929551509826, 0.6360929227154947, 0.37161139880888344, 0.3428643894891173]"
"[0.16857929551509826, 0.6360929227154947, 0.37161139880888344, 0.3428643894891173]",stable,0.04851638542156443,18,"[0.202249730106105, 0.6211770159947849, 0.3424810556436352, 0.3306545441747619]"
"[0.18541451281060162, 0.6286349693551398, 0.35704622722625934, 0.3367594668319396]",stable,0.03210415502790322,19,"[0.21121502974996922, 0.6310601418258305, 0.3616303089212493, 0.35514736582062534]"
"[0.19401468512372413, 0.6294433601787034, 0.3585742544579227, 0.34288876649483485]",stable,0.02491160549310392,20,"[0.18446868318463433, 0.6078608721613621, 0.3575666172098171, 0.35080348780265663]"
"[0.1916281846389517, 0.6240477381743681, 0.3583223451458963, 0.3448674468217903]",stable,0.05052925324432216,21,"[0.21366564989547787, 0.6578406068401359, 0.3558334547745346, 0.3751891059214134]"
"[0.19603567769025693, 0.6308063119075216, 0.3578245670716239, 0.35093177864171493]",stable,0.0572498774168449,22,"[0.16576279360939655, 0.6732288031306661, 0.37306517991472754, 0.36907446069976263]"
"[0.19099019701011355, 0.637876727111379, 0.36036466921214116, 0.3539555589847229]",stable,0.05660220154900192,23,"[0.14606316012938095, 0.6571275459410243, 0.38850759573702776, 0.3587254896251134]"
"[0.1845720488842946, 0.6406268440870425, 0.364385087287125, 0.35463697764763585]",stable,0.18196318190126096,24,"[0.3305936136079523, 0.6752990640082897, 0.3934630711109584, 0.45333150751509904]"
